id,date,timestamp,latitude,longitude,depth,size,location,attribute
48,2023.02.07 00:39:30,1675730370,36.7322,36.4988,21.8,"{'md': 0.0, 'ml': 3.2, 'mw': 0.0}",GULKENT-HASSA (HATAY),İlksel
60,2023.02.07 00:02:06,1675728126,36.7458,36.378,12.6,"{'md': 0.0, 'ml': 4.5, 'mw': 0.0}",BADEMLI-HASSA (HATAY),İlksel
174,2023.02.06 17:27:44,1675704464,36.826,36.5298,7.6,"{'md': 0.0, 'ml': 4.8, 'mw': 0.0}",HASSA (HATAY),İlksel
247,2023.02.06 12:01:35,1675684895,36.6303,36.4043,8.0,"{'md': 0.0, 'ml': 3.9, 'mw': 0.0}",SAYLAK-KIRIKHAN (HATAY),İlksel
253,2023.02.06 11:35:55,1675683355,36.6202,36.5175,21.4,"{'md': 0.0, 'ml': 2.9, 'mw': 2.7}",CAMUZKISLASI-KIRIKHAN (HATAY),İlksel
265,2023.02.06 11:01:48,1675681308,36.5853,36.4533,12.8,"{'md': 0.0, 'ml': 4.2, 'mw': 0.0}",CAMSARI-KIRIKHAN (HATAY),İlksel
270,2023.02.06 10:45:03,1675680303,36.353,36.3235,16.8,"{'md': 0.0, 'ml': 2.6, 'mw': 0.0}",AKTAS-KUMLU (HATAY),İlksel
278,2023.02.06 10:24:24,1675679064,36.0055,36.0695,23.5,"{'md': 0.0, 'ml': 3.7, 'mw': 0.0}",SURUTME-YAYLADAGI (HATAY),İlksel
282,2023.02.06 10:10:10,1675678210,36.6228,36.391,9.8,"{'md': 0.0, 'ml': 3.8, 'mw': 0.0}",TASOLUK-KIRIKHAN (HATAY),İlksel
283,2023.02.06 10:08:31,1675678111,36.6005,36.4462,11.6,"{'md': 0.0, 'ml': 4.6, 'mw': 0.0}",SOGUTLUOZ-KIRIKHAN (HATAY),İlksel
291,2023.02.06 09:38:10,1675676290,36.7803,36.474,12.5,"{'md': 0.0, 'ml': 3.8, 'mw': 0.0}",SOGUT-HASSA (HATAY),İlksel
297,2023.02.06 09:26:13,1675675573,36.25,36.1575,21.9,"{'md': 0.0, 'ml': 4.2, 'mw': 0.0}",KUZEYTEPE-(HATAY),İlksel
307,2023.02.06 08:51:50,1675673510,36.2788,36.2258,12.0,"{'md': 0.0, 'ml': 3.3, 'mw': 3.6}",AKCAOVA-(HATAY),İlksel
309,2023.02.06 08:44:55,1675673095,36.4033,36.238,11.1,"{'md': 0.0, 'ml': 4.2, 'mw': 4.2}",MARASBOGAZI-(HATAY),İlksel
311,2023.02.06 08:36:33,1675672593,36.297,36.2035,15.4,"{'md': 0.0, 'ml': 4.9, 'mw': 0.0}",BUYUKDALYAN-(HATAY),İlksel
328,2023.02.06 07:50:17,1675669817,36.5197,36.3485,10.0,"{'md': 0.0, 'ml': 3.6, 'mw': 0.0}",ALAYBEYLI-KIRIKHAN (HATAY),İlksel
329,2023.02.06 07:47:57,1675669677,36.6895,36.3915,8.5,"{'md': 0.0, 'ml': 4.6, 'mw': 0.0}",GUVENC-HASSA (HATAY),İlksel
334,2023.02.06 07:37:13,1675669033,36.242,36.2438,11.5,"{'md': 0.0, 'ml': 3.3, 'mw': 0.0}",ALAATTIN-(HATAY),İlksel
335,2023.02.06 07:31:24,1675668684,36.4342,36.2412,5.5,"{'md': 0.0, 'ml': 4.3, 'mw': 0.0}",SENBUK-BELEN (HATAY),İlksel
345,2023.02.06 07:13:08,1675667588,36.491,36.2135,6.3,"{'md': 0.0, 'ml': 3.5, 'mw': 0.0}",BELEN (HATAY),İlksel
352,2023.02.06 06:58:18,1675666698,36.477,36.3637,16.5,"{'md': 0.0, 'ml': 4.3, 'mw': 0.0}",RESATLI-KIRIKHAN (HATAY),İlksel
377,2023.02.06 05:48:23,1675662503,36.1077,36.1792,18.6,"{'md': 0.0, 'ml': 4.2, 'mw': 0.0}",SOFULAR-(HATAY),İlksel
378,2023.02.06 05:43:46,1675662226,36.681,36.4327,7.9,"{'md': 0.0, 'ml': 4.2, 'mw': 0.0}",DEMREK-HASSA (HATAY),İlksel
